method,platform,family,label,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,latency_mean,latency_std,recall_mean,recall_std,index_size_mb,build_time_sec,coarse_ms,rerank_ms
PQ-ADC-M16-p100,ARM-aarch64-NEON,PQ-ADC,"M16, p=100",100000,96,20,10,16,256,100,1,0,heap,2.5478,0.004919349550499617,0.9,0.0,1.6983039999999998,1.161235,2.5108,0.0364
PQ-ADC-M12-p1000,ARM-aarch64-NEON,PQ-ADC,"M12, p=1000",100000,96,20,10,12,256,1000,1,0,heap,2.6372,0.022387496510329185,0.9800000000000001,0.0,1.298304,1.152217,2.3076,0.32839999999999997
PQ-SDC-M12-coarse,ARM-aarch64-NEON,PQ-SDC,SDC M12 coarse,100000,96,20,10,12,256,0,1,0,coarse-only,2.7286,0.008677557259966925,0.255,0.0,1.298304,1.152217,2.7270000000000003,0.0
PQ-SDC-M12-p100,ARM-aarch64-NEON,PQ-SDC,"SDC M12, p=100",100000,96,20,10,12,256,100,1,0,nth-rerank,2.755,0.0043011626335211365,0.67,0.0,1.298304,1.152217,2.73,0.0242
FastScan-ADC-M16-p500,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=500",100000,96,20,10,16,256,500,1,0,u8lut-block32,2.7676000000000003,0.007300684899377596,1.0,0.0,3.2983040000000003,1.161235,2.6264,0.13999999999999999
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,SQ8-U8SIMD,SQ8-U8 p=100,100000,96,20,10,0,0,100,1,0,heap,2.7898,0.07942102996058424,0.015,0.0,9.600768,0.042659,2.759,0.029199999999999997
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,SQ8-U8SIMD,SQ8-U8 p=200,100000,96,20,10,0,0,200,1,0,heap,2.8112000000000004,0.10209652295744466,0.04,0.0,9.600768,0.042659,2.7588,0.0504
FastScan-SDC-M16-p500,ARM-aarch64-NEON,FastScan-SDC,"FS-SDC M16, p=500",100000,96,20,10,16,256,500,1,0,u8lut-block32,2.8366,0.07545727267798655,0.9650000000000001,0.0,3.2983040000000003,1.161235,2.6950000000000003,0.13940000000000002
PQ-SDC-M12-p500,ARM-aarch64-NEON,PQ-SDC,"SDC M12, p=500",100000,96,20,10,12,256,500,1,0,nth-rerank,2.8952,0.004086563348340336,0.885,0.0,1.298304,1.152217,2.753,0.1412
FastScan-ADC-M16-p1000,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1000",100000,96,20,10,16,256,1000,1,0,u8lut-block32,2.9248000000000003,0.005263078946776524,1.0,0.0,3.2983040000000003,1.161235,2.6608,0.2624
PQ-ADC-M16-p500,ARM-aarch64-NEON,PQ-ADC,"M16, p=500",100000,96,20,10,16,256,500,1,0,heap,2.9704,0.013667479650615967,1.0,0.0,1.6983039999999998,1.161235,2.7624,0.20659999999999998
PQ-ADC-M8-p2000,ARM-aarch64-NEON,PQ-ADC,"M8, p=2000",100000,96,20,10,8,256,2000,1,0,heap,2.9874,0.12328949671403495,0.9949999999999999,0.0,0.8983039999999999,1.205489,2.3335999999999997,0.6526
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,SQ8-U8SIMD,SQ8-U8 p=500,100000,96,20,10,0,0,500,1,0,heap,3.011,0.06781961368217902,0.09,0.0,9.600768,0.042659,2.8908,0.11779999999999999
PQ-SDC-M12-p1000,ARM-aarch64-NEON,PQ-SDC,"SDC M12, p=1000",100000,96,20,10,12,256,1000,1,0,nth-rerank,3.026,0.007713624310270781,0.9200000000000002,0.0,1.298304,1.152217,2.763,0.26180000000000003
FastScan-SDC-M16-p1000,ARM-aarch64-NEON,FastScan-SDC,"FS-SDC M16, p=1000",100000,96,20,10,16,256,1000,1,0,u8lut-block32,3.1176000000000004,0.011282730166054621,0.9949999999999999,0.0,3.2983040000000003,1.161235,2.8288,0.28579999999999994
FastScan-ADC-M16-p1500-b64,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1500, b=64",100000,96,2000,10,16,256,1500,1,0,u8lut-block,3.124333,0.0,0.99995,0.0,1.698304,1.122411,2.746667,0.375667
FastScan-ADC-M16-p2000,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=2000",100000,96,20,10,16,256,2000,1,0,u8lut-block32,3.1835999999999998,0.005899152481501075,1.0,0.0,3.2983040000000003,1.161235,2.6726,0.5096
FastScan-ADC-M16-p1000-b32,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1000, b=32",100000,96,2000,10,16,256,1000,1,0,u8lut-block,3.186333,0.0,0.99975,0.0,1.698304,1.190965,2.877,0.307333
PQ-SDC-M8-p5000,ARM-aarch64-NEON,PQ-SDC,"SDC M8, p=5000",100000,96,20,10,8,256,5000,1,0,nth-rerank,3.2224000000000004,0.012700393694685248,0.975,0.0,0.8983039999999999,1.205489,2.0946000000000002,1.1268
FastScan-SDC-M16-p2000,ARM-aarch64-NEON,FastScan-SDC,"FS-SDC M16, p=2000",100000,96,20,10,16,256,2000,1,0,u8lut-block32,3.2276,0.08050962675357512,1.0,0.0,3.2983040000000003,1.161235,2.7237999999999998,0.5016
FastScan-ADC-M16-p1200-b32,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1200, b=32",100000,96,2000,10,16,256,1200,1,0,u8lut-block,3.275,0.0,0.99985,0.0,1.698304,1.205378,2.887,0.385667
PQ-SDC-M12-p2000,ARM-aarch64-NEON,PQ-SDC,"SDC M12, p=2000",100000,96,20,10,12,256,2000,1,0,nth-rerank,3.2876,0.016379865689314866,0.9650000000000001,0.0,1.298304,1.152217,2.7794,0.5065999999999999
FastScan-ADC-M16-p1500-b128,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1500, b=128",100000,96,2000,10,16,256,1500,1,0,u8lut-block,3.293,0.0,0.99995,0.0,1.698304,1.05648,2.793333,0.497333
FastScan-ADC-M16-p1300-b32,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1300, b=32",100000,96,2000,10,16,256,1300,1,0,u8lut-block,3.368,0.0,0.99985,0.0,1.698304,1.121085,2.938333,0.428
PQ-SDC-M16-coarse,ARM-aarch64-NEON,PQ-SDC,SDC M16 coarse,100000,96,20,10,16,256,0,1,0,coarse-only,3.3879999999999995,0.009643650760992942,0.3,0.0,1.6983039999999998,1.161235,3.386,0.0
FastScan-ADC-M16-p1500-b32,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1500, b=32",100000,96,2000,10,16,256,1500,1,0,u8lut-block,3.415333,0.0,0.99995,0.0,1.698304,1.117425,2.949667,0.463667
PQ-SDC-M16-p100,ARM-aarch64-NEON,PQ-SDC,"SDC M16, p=100",100000,96,20,10,16,256,100,1,0,nth-rerank,3.4222,0.0017888543819998494,0.795,0.0,1.6983039999999998,1.161235,3.3884,0.033
PQ-ADC-M12-p2000,ARM-aarch64-NEON,PQ-ADC,"M12, p=2000",100000,96,20,10,12,256,2000,1,0,heap,3.4536000000000002,0.03768686773930689,1.0,0.0,1.298304,1.152217,2.7836,0.6688
PQ-ADC-M16-p1000,ARM-aarch64-NEON,PQ-ADC,"M16, p=1000",100000,96,20,10,16,256,1000,1,0,heap,3.4712000000000005,0.006870225614927012,1.0,0.0,1.6983039999999998,1.161235,3.0549999999999997,0.41479999999999995
FastScan-ADC-M16-p1400-b32,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1400, b=32",100000,96,2000,10,16,256,1400,1,0,u8lut-block,3.479667,0.0,0.99995,0.0,1.698304,1.060607,3.065333,0.412333
SDC-Pipeline3-M16-p1000-b16,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-3-M16, p=1000, b=16",100000,96,20,10,16,256,1000,1,0,pipeline3,3.5006,0.004878524367060237,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4054,0.258
SDC-Pipeline3-M16-p1000-b32,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-3-M16, p=1000, b=32",100000,96,20,10,16,256,1000,1,0,pipeline3,3.5172,0.009602083107326433,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4176,0.2736
SDC-Pipeline3-M16-p1000-b8,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-3-M16, p=1000, b=8",100000,96,20,10,16,256,1000,1,0,pipeline3,3.525,0.021283796653792625,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4222,0.2734
SDC-Pipeline3-M16-p1000-b64,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-3-M16, p=1000, b=64",100000,96,20,10,16,256,1000,1,0,pipeline3,3.5265999999999997,0.009071934744033339,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4248,0.2798
FastScan-ADC-M16-p2000-b32,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=2000, b=32",100000,96,2000,10,16,256,2000,1,0,u8lut-block,3.533,0.0,0.99995,0.0,1.698304,1.058629,2.997333,0.533667
PQ-SDC-M16-p500,ARM-aarch64-NEON,PQ-SDC,"SDC M16, p=500",100000,96,20,10,16,256,500,1,0,nth-rerank,3.5446,0.004335896677735718,0.9650000000000001,0.0,1.6983039999999998,1.161235,3.3975999999999997,0.14579999999999999
SDC-Pipeline3-M16-p1000-b4,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-3-M16, p=1000, b=4",100000,96,20,10,16,256,1000,1,0,pipeline3,3.5462000000000002,0.00443846820423435,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.439,0.2682
SDC-Pipeline3-M16-p1000-b1,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-3-M16, p=1000, b=1",100000,96,20,10,16,256,1000,1,0,pipeline3,3.5694000000000004,0.024213632523849064,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4472,0.2802
PQ-ADC-Select-M16-p2000,ARM-aarch64-NEON,PQ-ADC,"Select M16, p=2000",100000,96,2000,10,16,256,2000,1,0,nth_element,3.584,0.0,0.99995,0.0,1.698304,1.084811,3.057667,0.525333
FastScan-ADC-M16-p1500-b16,ARM-aarch64-NEON,FastScan-ADC,"FS-ADC M16, p=1500, b=16",100000,96,2000,10,16,256,1500,1,0,u8lut-block,3.658333,0.0,0.99995,0.0,1.698304,1.06181,3.214667,0.441333
PQ-SDC-M16-p1000,ARM-aarch64-NEON,PQ-SDC,"SDC M16, p=1000",100000,96,20,10,16,256,1000,1,0,nth-rerank,3.6868000000000003,0.0027748873851024002,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4061999999999997,0.2798
SDC-Pipeline2-M16-p1000-b4,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-2-M16, p=1000, b=4",100000,96,20,10,16,256,1000,1,0,pipeline2,3.7765999999999997,0.022545509530724768,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4176,0.2798
SDC-Pipeline2-M16-p1000-b8,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-2-M16, p=1000, b=8",100000,96,20,10,16,256,1000,1,0,pipeline2,3.7822000000000005,0.024365959862069762,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4206000000000003,0.2798
SDC-Pipeline2-M16-p1000-b64,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-2-M16, p=1000, b=64",100000,96,20,10,16,256,1000,1,0,pipeline2,3.7868000000000004,0.008167006795638365,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4346000000000005,0.28159999999999996
SDC-Pipeline2-M16-p1000-b32,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-2-M16, p=1000, b=32",100000,96,20,10,16,256,1000,1,0,pipeline2,3.7897999999999996,0.003701351104664317,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4357999999999995,0.28379999999999994
SDC-Pipeline2-M16-p1000-b16,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-2-M16, p=1000, b=16",100000,96,20,10,16,256,1000,1,0,pipeline2,3.7969999999999997,0.004527692569068632,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4381999999999997,0.28619999999999995
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,SQ8-U8SIMD,SQ8-U8 p=1000,100000,96,20,10,0,0,1000,1,0,heap,3.8091999999999997,0.02130023474049064,0.14,0.0,9.600768,0.042659,3.5322000000000005,0.27480000000000004
SDC-Pipeline2-M16-p1000-b1,ARM-aarch64-NEON,SDC-Pipeline,"Pipe-2-M16, p=1000, b=1",100000,96,20,10,16,256,1000,1,0,pipeline2,3.8146,0.029577018105279115,0.9949999999999999,0.0,1.6983039999999998,1.161235,3.4402,0.2832
PQ-SDC-M16-p2000,ARM-aarch64-NEON,PQ-SDC,"SDC M16, p=2000",100000,96,20,10,16,256,2000,1,0,nth-rerank,3.9494,0.01223928102463558,1.0,0.0,1.6983039999999998,1.161235,3.4206000000000003,0.5276
PQ-SDC-M12-p5000,ARM-aarch64-NEON,PQ-SDC,"SDC M12, p=5000",100000,96,20,10,12,256,5000,1,0,nth-rerank,4.036,0.024929901724636397,0.9949999999999999,0.0,1.298304,1.152217,2.8552,1.1794
PQ-ADC-M16-p2000,ARM-aarch64-NEON,PQ-ADC,"M16, p=2000",100000,96,20,10,16,256,2000,1,0,heap,4.4074,0.00716240183178796,1.0,0.0,1.6983039999999998,1.161235,3.5694000000000004,0.8368
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,SQ8-U8SIMD,SQ8-U8 p=2000,100000,96,20,10,0,0,2000,1,0,heap,4.4228,0.032267630839588994,0.255,0.0,9.600768,0.042659,3.8368,0.5831999999999999
PQ-SDC-M16-p5000,ARM-aarch64-NEON,PQ-SDC,"SDC M16, p=5000",100000,96,20,10,16,256,5000,1,0,nth-rerank,4.677,0.017916472867168853,1.0,0.0,1.6983039999999998,1.161235,3.4694000000000003,1.2066
PQ-ADC-M8-p5000,ARM-aarch64-NEON,PQ-ADC,"M8, p=5000",100000,96,20,10,8,256,5000,1,0,heap,5.386,0.05432310742216425,1.0,0.0,0.8983039999999999,1.205489,3.4113999999999995,1.973
PQ-ADC-M12-p5000,ARM-aarch64-NEON,PQ-ADC,"M12, p=5000",100000,96,20,10,12,256,5000,1,0,heap,5.715,0.037742548933530955,1.0,0.0,1.298304,1.152217,3.9324,1.7808
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,SQ8-U8SIMD,SQ8-U8 p=5000,100000,96,20,10,0,0,5000,1,0,heap,6.1936,0.04910498956317998,0.48,0.0,9.600768,0.042659,4.739199999999999,1.4516
PQ-ADC-M16-p5000,ARM-aarch64-NEON,PQ-ADC,"M16, p=5000",100000,96,20,10,16,256,5000,1,0,heap,6.8835999999999995,0.03289832822500271,1.0,0.0,1.6983039999999998,1.161235,4.808,2.0744
Flat-Manual-NEON,ARM-aarch64-NEON,Flat,NEON,100000,96,100,10,0,0,0,1,0,heap,8.4286,0.0647325265998475,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,Flat,Prefetch-8,100000,96,100,10,0,0,0,4,8,heap,8.4924,0.26718308329682733,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,Flat,Aligned hint,100000,96,100,10,0,0,0,1,0,heap,8.5266,0.05146163619629668,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-Unroll2,ARM-aarch64-NEON,Flat,Unroll-2,100000,96,100,10,0,0,0,2,0,heap,8.6592,0.30016362204637737,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-Unroll4-Prefetch-d64,ARM-aarch64-NEON,Flat,Prefetch-64,100000,96,100,10,0,0,0,4,64,heap,8.7178,0.04654245373849595,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,Flat,Prefetch-16,100000,96,100,10,0,0,0,4,16,heap,8.731,0.06161168720299803,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,Flat,Prefetch-32,100000,96,100,10,0,0,0,4,32,heap,8.761,0.08251666498350504,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,Flat,Prefetch-4,100000,96,100,10,0,0,0,4,4,heap,8.883199999999999,0.10153669287503968,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,Flat,Fixed Top-k,100000,96,100,10,0,0,0,4,16,fixed-array,9.2086,0.08759452037656243,1.0,0.0,38.4,0.0,0.0,0.0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,SQ8-U8SIMD,SQ8-U8 p=10000,100000,96,20,10,0,0,10000,1,0,heap,9.3066,0.0935670882308521,0.685,0.0,9.600768,0.042659,6.1251999999999995,3.1782
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,Flat,Prefetch-16,100000,96,100,10,0,0,0,4,16,heap,9.4802,0.42246739519162824,1.0,0.0,38.4,0.0,0.0,0.0
Flat-NEON-Unroll4,ARM-aarch64-NEON,Flat,Unroll-4,100000,96,100,10,0,0,0,4,0,heap,10.211,0.30068505117481364,1.0,0.0,38.4,0.0,0.0,0.0
Flat-AutoVec,ARM-aarch64-NEON,Flat,AutoVec,100000,96,100,10,0,0,0,1,0,heap,11.959399999999999,0.35689045938494923,1.0,0.0,38.4,0.0,0.0,0.0
SQ8-rerank-p100,ARM-aarch64-NEON,SQ8-LUT,SQ8 p=100,100000,96,20,10,0,0,100,1,0,heap,17.332,0.1657965620873958,1.0,0.0,9.600768,0.042659,17.2804,0.0498
SQ8-rerank-p200,ARM-aarch64-NEON,SQ8-LUT,SQ8 p=200,100000,96,20,10,0,0,200,1,0,heap,17.712,0.16612796272753103,1.0,0.0,9.600768,0.042659,17.61,0.0998
SQ8-rerank-p500,ARM-aarch64-NEON,SQ8-LUT,SQ8 p=500,100000,96,20,10,0,0,500,1,0,heap,18.0548,0.13033687122222906,1.0,0.0,9.600768,0.042659,17.8034,0.24939999999999998
SQ8-rerank-p1000,ARM-aarch64-NEON,SQ8-LUT,SQ8 p=1000,100000,96,20,10,0,0,1000,1,0,heap,18.6202,0.08479799525932197,1.0,0.0,9.600768,0.042659,18.110400000000002,0.508
Flat-Scalar-NoVec,ARM-aarch64-NEON,Flat,Scalar,100000,96,100,10,0,0,0,1,0,heap,19.065199999999997,0.11579594120693484,1.0,0.0,38.4,0.0,0.0,0.0
SQ8-rerank-p2000,ARM-aarch64-NEON,SQ8-LUT,SQ8 p=2000,100000,96,20,10,0,0,2000,1,0,heap,19.7248,0.05914980980527379,1.0,0.0,9.600768,0.042659,18.7092,1.0135999999999998
SQ8-rerank-p5000,ARM-aarch64-NEON,SQ8-LUT,SQ8 p=5000,100000,96,20,10,0,0,5000,1,0,heap,22.5964,0.12150226335340455,1.0,0.0,9.600768,0.042659,20.2464,2.3476
SQ8-rerank-p10000,ARM-aarch64-NEON,SQ8-LUT,SQ8 p=10000,100000,96,20,10,0,0,10000,1,0,heap,27.002,0.11494998912570599,1.0,0.0,9.600768,0.042659,22.4114,4.5882000000000005
